feature,importance
WCFT__std,9.353000600973107e-20
HTR__delta,8.251123226762221e-20
MH2__delta,5.739431223793227e-20
CNH2__std,4.3121812064911484e-20
WRLA__max,1.7953587256469082e-20
FRCL__last,1.4407742475822633e-20
HTR__min,0.0
WHPI__min,0.0
RM1__min,0.0
WUP__min,0.0
WCHG__delta,0.0
RC87__min,0.0
RM4__min,0.0
RM3__min,0.0
RHRD__max,0.0
FRCL__max,0.0
FRCL__min,0.0
MH2__mean,0.0
MH2__min,0.0
WLPI__mean,0.0
WCFT__min,0.0
QFCL__std,0.0
CNH2__max,0.0
WBK__min,0.0
QFCL__delta,0.0
QFCL__last,0.0
QFCL__max,0.0
QFCL__min,0.0
WLR__min,0.0
WCSP__min,0.0
WCSP__max,0.0
TSLP__max,0.0
WPCS__min,0.0
WPCS__std,0.0
WPCS__mean,0.0
WPCS__max,0.0
WPCS__last,0.0
WPMU__last,0.0
WPMU__delta,0.0
WPFW__mean,0.0
TSLP__min,0.0
WPFW__std,0.0
WPFW__min,0.0
PPM__min,0.0
WSPY__min,0.0
QFCL__mean,0.0
WLPI__std,0.0
CNH2__min,0.0
WLPI__min,0.0
WLPI__max,0.0
WLPI__last,0.0
SGLK__last,0.0
QRHR__last,0.0
QRHR__max,0.0
SGLK__min,0.0
STSG__std,0.0
STSG__min,0.0
STSG__last,0.0
STSG__delta,0.0
STTB__min,0.0
RBLK__min,0.0
QRHR__mean,0.0
LVCR__max,0.0
WTRB__min,0.0
RHBR__max,0.0
CNH2__last,0.0
WRLB__min,0.0
WRLB__delta,0.0
WRLB__last,0.0
WRLB__max,0.0
WTRA__min,0.0
WRLA__last,0.0
WRLA__delta,0.0
WRLA__min,0.0
QRHR__delta,0.0
QRHR__min,0.0
SGLK__std,0.0
RC131__min,0.0
FRCL__delta,0.0
QRHR__std,0.0
FRZR__min,0.0
EBK__last,0.0
FRZR__std,0.0
EBK__max,0.0
TDBR__mean,0.0
FRZR__max,0.0
FRZR__delta,0.0
TDBR__min,0.0
MDBR__mean,0.0
MDBR__std,0.0
EBK__delta,0.0
EBK__std,0.0
EBK__mean,0.0
EBK__min,0.0
MBK__min,0.0
MCRT__mean,0.0
MDBR__delta,0.0
MDBR__last,0.0
MDBR__max,0.0
MDBR__min,0.0
MCRT__std,0.0
MCRT__max,0.0
MCRT__min,0.0
MGAS__max,0.0
MGAS__last,0.0
MGAS__delta,0.0
MCRT__last,0.0
MCRT__delta,0.0
MGAS__mean,0.0
MGAS__std,0.0
MGAS__min,0.0
TCRT__last,0.0
TCRT__max,0.0
TCRT__min,0.0
TCRT__std,0.0
TCRT__mean,0.0
WPMU__std,0.0
TCRT__delta,0.0
WPCS__delta,0.0
WPMU__min,0.0
WPMU__max,0.0
WPMU__mean,0.0
RRCO__min,0.0
WFLB__min,0.0
WPFW__max,0.0
WPFW__last,0.0
WPFW__delta,0.0
